drugbank_id,cas,logP ALOGPS,logP ChemAxon,solubility ALOGPS,pKa (strongest acidic),pKa (strongest basic)
DB01929,,-0.3,1.19,1.37e+00 g/l,17.16,4.98
DB01930,470-29-1,-0.34,-0.49,4.73e+02 g/l,3.96,-2.8
DB01931,131123-76-7,3.63,3.08,1.56e-01 g/l,3.69,0.38
DB01933,112953-11-4,2.42,3.41,7.89e-02 g/l,10.8,9.52
DB01934,,2.92,2.02,8.15e-03 g/l,3.54,-2.8
DB01935,,1.75,1.56,4.12e-01 g/l,4.11,-5.4
DB01936,37388-49-1,-2.6,-2.3,1.07e+03 g/l,11.31,-3
DB01937,130-50-7,-2,-3.3,3.56e+00 g/l,0.92,0.29
DB01938,,1.1,1.07,1.04e-01 g/l,12.75,8.01
DB01939,,-0.58,-0.19,1.86e+00 g/l,11.77,10.92
DB01940,,3.06,3.18,3.95e-03 g/l,7.98,9.65
DB01941,153559-76-3,6.15,5.82,3.02e-04 g/l,3.93,2.53
DB01944,,2,2.88,1.98e-01 g/l,11.54,2.73
DB01945,,-2,-3.6,4.66e+00 g/l,1.21,2.78
DB01946,125313-65-7,3.25,1.69,3.18e-02 g/l,9.61,10.41
DB01947,,0.04,0.73,4.44e+00 g/l,1.75,-7.3
DB01948,,5.52,6.28,1.22e-04 g/l,19.58,10.04
DB01949,,0.04,0.1,7.33e+01 g/l,16.28,8.24
DB01950,487021-52-3,2.05,2.12,1.19e-02 g/l,7.52,-4.2
DB01952,13875-63-3,0.11,-0.79,2.34e+01 g/l,9.05,4.97
DB01953,,3.9,3.39,8.69e-03 g/l,17.28,5.67
DB01954,61413-54-5,2.51,1.96,6.72e-02 g/l,14.28,-1.9
DB01955,110-63-4,-0.63,-0.63,6.75e+02 g/l,15.67,-2.4
DB01956,107-35-7,-2.2,-2.6,1.05e+02 g/l,-1.5,9.34
DB01957,108-43-0,2.35,2.27,1.46e+01 g/l,8.79,-6.3
DB01958,,4.47,4.77,2.78e-03 g/l,16.67,6.58
DB01960,104809-16-7,-1.7,-3.1,7.91e+00 g/l,1.77,20.6
DB01961,84-52-6,-2,-2.9,1.76e+01 g/l,0.8,4.19
DB01962,21820-51-9,-0.76,-1.5,1.93e+00 g/l,1.38,9.46
DB01964,,0.49,0.37,5.19e-01 g/l,8.14,-3.6
DB01965,,-0.36,-3.2,8.34e+00 g/l,0.58,-3.2
DB01966,,8.91,12.23,5.43e-05 g/l,1.87,10
DB01967,,2.3,1.98,2.88e-01 g/l,11.91,3.76
DB01968,,0.26,-0.27,1.77e+01 g/l,9.69,5.7
DB01969,,0.21,-4.9,4.21e+00 g/l,0.83,4.89
DB01970,,0.31,-1.1,9.98e+00 g/l,12.65,0.22
DB01971,3465-72-3,0.22,-1,4.25e+01 g/l,3.85,6.13
DB01972,85-32-5,-2,-2.9,3.56e+00 g/l,1.05,1.73
DB01973,,-1.4,-2.1,2.30e+00 g/l,1.53,8.57
DB01974,,-4.1,-6.3,1.12e+01 g/l,1.02,9.16
DB01975,,-2,-7.3,4.24e+00 g/l,0.81,4.99
DB01977,,2.46,2.67,1.29e-02 g/l,12.14,11.22
DB01978,55235-22-8,-3.5,-5.3,3.14e+00 g/l,11.09,5.41
DB01979,25281-48-5,-2.5,-2.3,8.62e+02 g/l,12.21,-3
DB01980,,1.17,0.95,2.56e-01 g/l,8.8,7.56
DB01981,96519-18-5,-2,-3.6,1.05e+02 g/l,-2.1,-3.7
DB01982,1986-14-7,-2.3,-2.6,2.95e+02 g/l,3.21,-3.7
DB01983,,-2.9,-5,2.83e+00 g/l,1.9,9.53
DB01984,,1.37,1.2,1.06e-02 g/l,3.27,10.76
DB01985,155-84-0,-1.7,-3.3,7.67e-01 g/l,3.59,12.24
DB01987,136-08-3,-1.2,-5.8,3.72e-01 g/l,1.78,5.53
DB01989,,0.07,0.095,2.78e-03 g/l,3.02,10.2
DB01991,,3.77,2.95,3.49e-02 g/l,8.9,-3
DB01992,85-61-0,-0.61,-6.8,4.64e+00 g/l,0.83,4.95
DB01993,,-1.7,-4.2,1.48e+00 g/l,1.03,9.86
DB01994,,0.85,-0.015,1.99e-01 g/l,15.33,0.59
DB01995,3590-36-1,-1.8,-2.5,1.53e+01 g/l,1.16,4.3
DB01997,,2.39,2.21,7.57e-01 g/l,9.64,-1.3
DB01998,,-0.81,-1.3,1.50e+01 g/l,11.85,-2.7
DB02001,,3.21,3.12,6.75e-02 g/l,16.67,6.59
DB02002,,-1.2,-1.4,2.43e+02 g/l,16.27,3.2
DB02004,,3.9,4.16,1.23e-02 g/l,19.77,8.8
DB02005,,0.77,1.21,1.98e+01 g/l,3.22,-9.7
DB02006,,4.26,5.07,9.62e-03 g/l,9.5,4.21
DB02007,15209-11-7,-2.1,-3.1,3.14e+01 g/l,1.22,-3.6
DB02008,,3.63,3.62,2.77e-02 g/l,7.86,-0.69
DB02009,216863-66-0,4.3,4.11,3.09e-02 g/l,13.01,7.21
DB02010,62996-74-1,3.14,3.97,4.39e-02 g/l,14.14,9.55
DB02011,63446-55-9,-2.4,-4.3,5.85e+00 g/l,1.48,9.28
DB02014,,4.29,4.62,3.37e-02 g/l,3.9,-3.6
DB02015,4033-27-6,-1,-1.4,1.48e-01 g/l,3.37,2.09
DB02017,,-2.7,-4.2,3.86e+01 g/l,11.98,5.56
DB02018,,0.58,-0.82,3.09e-01 g/l,3.11,11.49
DB02019,,2.81,3.88,9.48e-02 g/l,3.41,-4.4
DB02020,51411-04-2,1.95,1.38,6.14e-02 g/l,3.45,-6.6
DB02021,136087-85-9,0.08,-0.68,2.66e+00 g/l,8.67,-4.9
DB02022,73-67-6,-0.26,-0.36,1.20e+01 g/l,14.41,6.17
DB02023,127027-50-3,-1.8,-4.2,6.61e+00 g/l,-5.7,21.85
DB02025,32467-88-2,-1.7,-3,4.78e-01 g/l,1.94,9.15
DB02026,,0.37,-0.58,4.25e-01 g/l,3.22,4.48
DB02027,357965-98-1,-1.4,-2.5,3.38e-01 g/l,10.98,9.94
DB02028,,-0.82,-4.8,1.43e+01 g/l,0.62,-3.7
DB02029,,3.89,3.83,2.14e-02 g/l,13.51,-2.4
DB02030,,-0.32,-1.5,1.53e+00 g/l,1.22,5.81
DB02031,135-16-0,-1.5,-1.9,2.88e-01 g/l,3.46,2.78
DB02032,63250-36-2,1.02,0.73,4.52e+00 g/l,4.02,-1.3
DB02033,,4.71,5.2,1.73e-03 g/l,6.89,-6.3
DB02034,72741-87-8,-1.5,-1.4,1.32e+03 g/l,13.28,9.47
DB02036,,0.53,0.35,6.23e-01 g/l,8.89,-5.5
DB02037,102783-67-5,-1.2,-0.35,3.78e+01 g/l,12.91,0.41
DB02038,,-1.4,-3.4,2.21e+00 g/l,1.74,7.99
DB02039,,-2.3,-2.9,2.32e+01 g/l,1.89,8.29
DB02041,,-0.39,-0.71,2.43e+00 g/l,13.75,2.15
DB02042,,-0.42,-0.75,4.22e+00 g/l,15.12,-2.7
DB02043,,7.8,10.94,1.41e-04 g/l,1.89,-3
DB02046,,1.57,1.64,6.88e-02 g/l,1.49,-3.4
DB02049,,2.36,2.16,1.24e-02 g/l,8.89,-4.1
DB02051,,4.61,6.23,1.18e-04 g/l,13.1,-3.6
DB02052,,2.18,1.79,1.17e-01 g/l,7.36,1.51
DB02053,4151-19-3,-1.6,-3.1,1.93e+01 g/l,1.49,-3.5
DB02054,87980-11-8,0.93,0.63,6.36e+00 g/l,4.81,3.27
DB02056,41598-07-6,3.12,3.23,8.60e-02 g/l,4.4,-1.6
DB02057,83643-88-3,-2.5,-2.3,2.45e+01 g/l,1.56,7.8
DB02058,,2.29,2.33,1.05e-01 g/l,12.32,3.33
DB02059,,-1.8,-6.7,3.61e+00 g/l,1.86,5
DB02061,528-50-7,-3,-4.7,5.86e+02 g/l,11.25,-3
DB02062,,0.22,0.46,8.35e-03 g/l,-0.036,9.56
DB02063,,1.85,-0.27,4.21e-02 g/l,3.16,11.53
DB02065,,-3.2,-4,5.50e+02 g/l,11.27,-2.9
DB02066,,-0.97,-2,6.14e+00 g/l,11.87,3.32
DB02067,,-1.6,-5.8,3.90e-01 g/l,2.34,4.71
DB02068,,-2.4,-2.4,1.03e+01 g/l,4.65,10.21
DB02069,,1.5,1.52,2.78e-02 g/l,9.95,-1.3
DB02070,2922-83-0,-1.9,-1.9,1.67e+00 g/l,1.19,8.96
DB02071,,2.43,2.39,1.24e-02 g/l,9.5,4.81
DB02072,,0.68,2.36,5.30e-02 g/l,1.98,-7.4
DB02073,114-25-0,3.44,0.57,1.29e-02 g/l,3.87,5.86
DB02075,,-1.3,-3.5,3.77e+00 g/l,1.5,8.62
DB02076,921-62-0,-2.3,-3.5,2.07e+01 g/l,1.49,-3.5
DB02077,,-2,-3.6,4.24e-01 g/l,10.82,8.99
DB02079,645-88-5,-0.79,-2.2,5.26e+02 g/l,3.16,4.52
DB02082,34273-04-6,-0.88,-5.5,8.90e+00 g/l,-1.9,20.4
DB02083,1118-68-9,-1.7,-3.1,9.39e+02 g/l,1.88,9.69
DB02084,,2.28,0.78,1.18e-02 g/l,3.86,11.53
DB02085,22059-21-8,-3,-2.7,4.37e+02 g/l,2.2,9.35
DB02086,,6.52,6.59,2.87e-04 g/l,8.04,-6.4
DB02088,,-0.31,-1.3,3.17e+01 g/l,-0.24,10.24
DB02089,,3.67,3.08,2.63e-03 g/l,11.95,-1.3
DB02090,,0.76,0.056,4.58e+00 g/l,8.86,0.079
DB02091,,1.6,0.84,2.59e-01 g/l,16.36,3.26
DB02093,,-2.3,-3.7,1.37e+01 g/l,1.49,-3.5
DB02094,,0.23,1.06,2.21e-01 g/l,15.07,-2.9
DB02095,91-56-5,0.89,1.6,2.77e+00 g/l,8.93,-5.6
DB02096,256461-28-6,0.86,1.14,6.44e-01 g/l,13.9,3.53
DB02097,65-46-3,-2.2,-2.8,4.38e+01 g/l,12.55,-2.6
DB02098,,-1.6,-4.9,3.29e+00 g/l,0.57,4.89
DB02100,34004-14-3,-2.5,-2.3,8.62e+02 g/l,12.21,-3
DB02101,,0.08,-0.68,2.66e+00 g/l,8.67,-4.9
DB02102,174391-92-5,3.26,4.04,2.07e-02 g/l,13.23,4.44
DB02103,114849-58-0,0.35,0.43,3.69e+00 g/l,14.67,1.33
DB02104,,2.2,2.02,1.88e-01 g/l,16.06,3.89
DB02105,7659-29-2,1.71,1.25,6.05e-01 g/l,4.89,-6.6
DB02106,,3.82,4.3,8.16e-03 g/l,8.69,9.73
DB02109,689-13-4,-0.97,-1.4,5.00e+01 g/l,3.28,-5.9
DB02111,,0.6,0.94,4.39e+01 g/l,3.82,-3
DB02113,07-03-2004,0.11,-0.21,2.93e+01 g/l,9.84,4.55
DB02115,552-66-9,0.71,0.46,6.61e-01 g/l,8.96,-3
DB02116,101622-51-9,1.58,1.18,5.09e-01 g/l,14.85,5.63
DB02118,35580-46-2,1.58,1.08,8.92e-02 g/l,12.86,-4.2
DB02119,05-03-3672,-1.7,-1.9,2.47e+00 g/l,10.91,3.9
DB02120,38231-86-6,-2.3,-3.1,3.42e+02 g/l,12.83,8.3
DB02121,541-35-5,-0.13,0.11,2.16e+02 g/l,16.96,-0.87
DB02122,,1.36,2.03,1.79e-01 g/l,8.68,-5.4
DB02123,640-79-9,2.4,2.61,7.93e-03 g/l,3.77,-0.29
DB02124,,-2.4,-3.1,6.54e+01 g/l,3.77,9.38
DB02128,,1.58,3.1,4.92e-03 g/l,12.42,4.72
DB02129,155-54-4,-1.7,-1.5,1.27e+01 g/l,3.28,-8.2
DB02130,121-34-6,1.04,1.17,1.86e+01 g/l,4.16,-4.9
DB02131,,2.66,2.22,7.62e-01 g/l,16.79,-0.99
DB02132,112733-06-9,3.26,3.55,1.01e-02 g/l,3.41,-7.4
DB02133,479-61-8,8.37,14.73,1.38e-04 g/l,11.75,4.95
DB02134,69-89-6,-0.65,-0.21,4.91e+00 g/l,7.95,-0.7
DB02135,,-1.4,-3.9,3.41e+00 g/l,1.81,-3
DB02137,872689-63-9,-0.61,-2.1,1.53e+01 g/l,1.26,0.3
DB02140,,0.91,0.96,4.75e-02 g/l,6.96,4.54
DB02142,529-96-4,-0.99,-2.2,6.61e+00 g/l,1.74,10.11
DB02143,478806-77-8,-0.3,-0.18,1.01e+01 g/l,14.82,10.3
DB02144,,7.33,9.52,8.01e-04 g/l,1.83,-3.6
DB02145,71-36-3,0.84,0.81,1.58e+02 g/l,16.95,-1.9
DB02146,24429-05-8,-0.5,-6.6,1.89e-01 g/l,-6.9,9.31
DB02148,,0.36,1.07,1.65e+00 g/l,16.32,7.44
DB02151,,-1,-1.7,3.09e+01 g/l,-0.24,10.21
DB02152,97161-97-2,2.91,3.48,5.97e-02 g/l,10.71,-1.6
DB02153,1115-65-7,-2.1,-3,3.02e+01 g/l,-0.78,9.09
DB02154,,1.96,3.09,1.17e-01 g/l,3.24,-4.4
DB02155,,4.38,4.8,1.36e-03 g/l,7.56,9.7
DB02158,,-1.6,-1.4,8.76e-01 g/l,12.93,8.38
DB02159,4254-14-2,-1.1,-0.79,9.52e+02 g/l,14.47,-2.9
DB02160,,-1.5,-1.8,1.21e+01 g/l,2.13,8.28
DB02161,,1.91,1.59,5.57e+00 g/l,11.99,9.38
DB02162,,-1.3,-2,5.29e+00 g/l,11.74,4.99
DB02164,,0.19,-2.9,2.63e+00 g/l,-2.4,-3
DB02167,,-1.9,-2.5,7.74e+02 g/l,1.96,9.97
DB02168,767-69-1,0.6,0.64,8.73e+00 g/l,8.5,2.11
DB02169,78111-17-8,2.73,5.13,4.42e-03 g/l,3.76,-3.2
DB02170,,2.53,3.59,3.25e-01 g/l,7.26,-5.2
DB02172,,-2,-2.9,3.23e+02 g/l,13.18,8.88
DB02174,5959-95-5,-3.3,-4,9.78e+01 g/l,2.15,9.31
DB02178,122-78-1,1.75,1.45,2.08e+00 g/l,14.98,-7
DB02179,,5,5.25,1.16e-02 g/l,3.84,-3.6
DB02180,3130-72-1,1.84,-1.4,2.21e+00 g/l,0.83,4.95
DB02181,2564-35-4,-0.61,-2.8,5.59e+00 g/l,0.82,1.61
DB02183,,-1.2,-5.5,1.04e+01 g/l,2.2,4.93
DB02184,,0.18,-0.28,5.14e+00 g/l,9.62,-3.3
DB02185,,0.13,-0.055,2.46e+01 g/l,7.85,-4.6
DB02186,157296-99-6,-2,-5.1,4.45e+01 g/l,-2,-0.76
DB02187,474-86-2,3.8,3.9,1.33e-02 g/l,9.41,-6
DB02188,,1.25,-4.8,1.38e-01 g/l,3.15,8.18
DB02189,24027-80-3,-0.44,-3.8,3.05e+00 g/l,0.9,4.95
DB02190,,-0.55,-0.37,7.47e+00 g/l,2.38,-10
DB02191,,2.37,2.1,1.07e+00 g/l,12.44,3.68
DB02192,60-12-8,1.51,1.49,1.13e+01 g/l,15.88,-2.4
DB02194,,3.58,4.17,1.47e-02 g/l,8.93,1.1
DB02195,,2.88,2.71,8.65e-03 g/l,11.26,4.7
DB02196,,-1.4,-5.3,1.14e+01 g/l,1.74,-3.5
DB02197,,2.2,1.51,2.48e-02 g/l,10.67,5.54
DB02200,,4.94,5.79,4.34e-05 g/l,13.34,-3.6
DB02202,24621-61-2,-0.59,-0.73,7.42e+02 g/l,15.41,-2.4
DB02203,75-86-5,-0.29,0.019,2.60e+01 g/l,12.76,-3.8
DB02205,14755-47-6,3.54,3.3,2.20e-02 g/l,14.3,-3.1
DB02207,2942-42-9,1.76,1.59,4.23e+00 g/l,10.22,-0.39
DB02209,447-05-2,-0.8,-3.6,9.41e+00 g/l,1.74,5.55
DB02210,629-11-8,0.59,0.26,8.44e+01 g/l,16.84,-1.7
DB02213,,-0.67,-0.66,1.69e+01 g/l,12.2,-3
DB02214,,-2,-4.8,1.64e+01 g/l,6.92,-3
DB02215,,1.5,1.41,3.20e-01 g/l,3.9,-3.4
DB02216,1187-84-4,-2.2,-2.4,6.58e+01 g/l,2.44,9.15
DB02217,,-0.25,0.97,4.43e+00 g/l,0.65,-3.9
DB02218,,-2.2,-4.1,1.68e+02 g/l,11.31,6.73
DB02219,1135-40-6,-0.84,-0.53,1.51e+00 g/l,-0.53,10.45
DB02220,220402-83-5,0.53,0.56,2.63e-01 g/l,8.17,6.44
DB02221,,2.32,1.81,1.23e-02 g/l,9.95,-1.3
DB02222,,-0.49,-3.6,2.72e+00 g/l,1.36,6.01
DB02224,480-18-2,1.07,1.82,1.16e+00 g/l,7.8,-3.9
DB02225,,0.58,-0.031,1.75e-04 g/l,1.35,-6.7
DB02227,,-1.7,-1.6,6.92e+02 g/l,3.53,-3.2
DB02228,,-1.9,-2,2.57e+02 g/l,11.02,-3
DB02229,,-1.6,-4.4,4.92e+00 g/l,2.74,6.79
DB02230,,-2,-2.9,3.54e+00 g/l,11.06,7.93
DB02232,120-80-9,0.74,1.37,7.50e+01 g/l,9.34,-6.3
DB02233,,-2.9,-2.9,1.01e+02 g/l,2.46,9.53
DB02235,62697-73-8,-2.4,-4.6,5.40e+01 g/l,1.74,9.11
DB02236,,-2.4,-4.7,1.46e+01 g/l,1.23,8.14
DB02237,34612-38-9,-2.6,-8.9,2.21e+02 g/l,11.7,-3.7
DB02238,583-92-6,-0.07,1.12,7.44e+00 g/l,3.3,-9.7
DB02239,123-76-2,-0.14,-0.069,1.39e+02 g/l,4.32,-7.3
DB02241,,3.66,4.62,1.60e-02 g/l,8.95,1.04
DB02243,,3.55,2.19,1.44e-02 g/l,4.55,7.75
DB02245,7355-55-7,-1.2,-1.1,2.76e+00 g/l,9.21,3.44
DB02247,,0.83,1.02,3.74e-02 g/l,3.62,-0.87
DB02248,,-1.9,-1.8,3.11e+01 g/l,-3.9,5.91
DB02249,110-80-5,-0.28,-0.21,5.85e+02 g/l,15.12,-2.7
DB02251,27415-09-4,0.87,1.01,5.57e-01 g/l,3.42,-7.6
DB02253,,6.84,5.9,1.57e-03 g/l,16.76,-1.1
DB02254,,-0.25,-2.5,1.78e-02 g/l,1.71,0.71
DB02255,142880-36-2,1.23,1.15,4.08e-02 g/l,8.9,-1.2
DB02256,951-78-0,-1.5,-1.5,9.06e+01 g/l,9.71,-3
DB02257,,-0.68,-0.71,1.67e+01 g/l,1.49,-4.6
DB02258,,6.7,6.39,9.86e-05 g/l,4.03,2.93
DB02259,,4.7,4.64,1.37e-02 g/l,5.11,-4.5
DB02260,,0.51,1.09,2.23e+00 g/l,4.31,-7.4
DB02261,74389-68-7,2.71,2.01,2.25e-04 g/l,1.86,-4.1
DB02262,65-86-1,-0.89,-1.2,4.51e+00 g/l,2.83,-6
DB02263,142-10-9,-1.7,-1.8,2.05e+01 g/l,1.4,-3.8
DB02264,,-1.6,-4.5,7.82e+01 g/l,-2.1,-3.7
DB02266,530-78-9,4.6,5.25,8.00e-03 g/l,3.88,-2.1
DB02267,,-3.2,-5.9,1.37e+00 g/l,2.14,11.92
DB02268,,0.58,0.04,2.29e+00 g/l,4.86,2.43
DB02269,,1.21,1.29,2.00e-04 g/l,14.73,11.49
DB02271,,1.88,-0.43,2.05e+00 g/l,0.83,4.89
DB02272,487-90-1,-2.4,-2.7,2.72e+00 g/l,3.66,8.99
DB02273,18479-58-8,3.3,2.82,1.02e-01 g/l,18.53,-1.3
DB02274,4707-58-8,-2,-1.3,3.84e+00 g/l,4.45,8.08
DB02275,,0.18,-1.3,7.58e-01 g/l,8.2,7.34
DB02276,,1.62,2.91,1.81e-02 g/l,1.42,-5.4
DB02277,,3.92,4.17,6.31e-02 g/l,11.61,2.3
DB02278,,-0.65,-1.6,7.04e-01 g/l,11.19,4.98
DB02279,611-73-4,1.16,1.49,2.42e+00 g/l,2.69,-9.5
DB02280,611-71-2,0.66,0.9,1.68e+01 g/l,3.75,-4.1
DB02281,07-12-6742,-1.2,-2.3,1.03e+01 g/l,11.89,3.38
DB02282,2457-80-9,-0.14,-0.61,6.50e+00 g/l,12.47,4.99
DB02283,,-0.19,-0.068,4.39e+00 g/l,-1.1,4.66
DB02285,553-12-8,4.4,6.78,2.17e-02 g/l,3.68,4.96
DB02286,,-1.4,-1.9,4.17e+00 g/l,1.84,9.4
DB02287,,0.65,1.45,8.14e-02 g/l,9.09,11.55
DB02288,,1.09,2.89,1.16e-02 g/l,7.68,10.6
DB02289,1068-84-4,-3.5,-3.4,1.26e+02 g/l,0.45,8.5
DB02290,,-1.6,-4.4,4.20e+00 g/l,1.76,-3
DB02292,288628-05-7,2.76,1.99,9.67e-02 g/l,10.65,-6
DB02293,,7.75,13.87,2.77e-04 g/l,1.35,-3.4
DB02294,,-2.1,-3.2,4.78e+01 g/l,12.05,-1.9
DB02295,,2.41,1.71,8.60e-02 g/l,10.12,9.23
DB02296,123-51-3,1.33,1.09,3.80e+01 g/l,17.17,-1.9
DB02297,,0.63,0.13,5.59e+01 g/l,19.58,-0.049
DB02298,,-3.1,-2.7,3.04e+01 g/l,3.1,7.32
DB02299,,-0.32,-2.3,2.41e+01 g/l,16.31,12.4
DB02300,112965-21-6,4.63,3.84,1.35e-02 g/l,14.39,-1.6
DB02301,,-0.78,-2.9,3.35e-01 g/l,3.24,5.19
DB02302,30344-00-4,-2.9,-2.7,1.56e+00 g/l,2.54,12.4
DB02303,,-0.05,-0.17,1.26e+01 g/l,10.89,-8.1
DB02304,13367-85-6,4.07,4.18,2.99e-02 g/l,4.25,-1.6
DB02305,,-1.7,-1.9,2.08e+02 g/l,3.27,-3.5
DB02306,,5.48,8.28,2.53e-05 g/l,1.86,-6.7
DB02307,,0.13,-1.1,1.39e-02 g/l,3.1,7.81
DB02309,,-0.61,-6.2,2.10e+00 g/l,1.18,-3.7
DB02312,,-2.1,-3.1,3.14e+01 g/l,1.22,-3.6
DB02313,,2.59,2.82,4.00e-02 g/l,12.5,-0.56
DB02315,7665-99-8,-2,-2.1,3.79e+00 g/l,2.05,1.41
DB02316,,4.51,5.54,8.23e-04 g/l,3.31,-4.9
DB02317,2255-14-3,-2,-3.1,3.23e+01 g/l,1.16,-3
DB02318,,-0.97,-1.3,1.29e+02 g/l,12.52,-3
DB02319,,-1.4,-8,5.26e+00 g/l,0.66,4.87
DB02320,6983-36-4,-2.6,-3.2,2.55e+02 g/l,11.47,-2.1
DB02321,,-2.6,-4.2,4.10e+01 g/l,1.8,9.5
DB02322,,-1.2,-9.7,1.20e+01 g/l,-2.5,-3.5
DB02323,,4.29,4.92,5.59e-03 g/l,10.32,4.99
DB02324,,-0.65,-0.65,7.24e+00 g/l,1.23,-3.2
DB02325,67-63-0,0.04,0.25,3.78e+02 g/l,17.26,-1.8
DB02326,,0.13,0.58,2.28e+01 g/l,3.99,-5.5
DB02327,112-27-6,-1.1,-1.3,3.36e+02 g/l,14.82,-2.7
DB02328,,-0.6,-3.3,1.52e+00 g/l,1.6,5.57
DB02329,5697-56-3,5.46,6.3,7.38e-04 g/l,4.04,-5.1
DB02331,,6.5,7.54,2.55e-03 g/l,4.42,-1.7
DB02332,,-1.1,-4.8,2.34e+00 g/l,1.85,4.89
DB02333,,-0.12,-2.5,8.63e+00 g/l,0.9,-3.2
DB02334,,-1.8,-1.8,7.89e+01 g/l,-1.6,-4.2
DB02336,,1.26,0.77,6.77e-03 g/l,1.27,-1.9
DB02337,,-1.6,-1.9,1.98e+00 g/l,2.55,9.5
DB02338,53-57-6,-1.1,-6.6,5.45e+00 g/l,0.66,4.87
DB02340,16354-58-8,-1.4,-1.8,8.46e+01 g/l,3.61,-1.5
DB02341,149859-17-6,3.03,3.31,8.09e-03 g/l,10.32,-0.48
DB02342,362-07-2,3.7,3.59,9.68e-03 g/l,10.29,-0.88
DB02345,10236-58-5,-3.2,-4.1,3.25e+02 g/l,1.27,8.42
DB02346,,-0.79,-1.2,1.69e+01 g/l,11.86,-3
DB02347,,-0.87,-1.1,6.57e-01 g/l,1.27,9.15
DB02349,,-0.89,-15,3.22e+00 g/l,0.8,8.67
DB02350,,1.34,0.97,2.24e-01 g/l,8.7,-4.8
DB02353,,-1.2,-7.5,3.75e+01 g/l,-2.1,-3
DB02354,,4.68,3.03,4.47e-02 g/l,18.16,12.52
DB02355,,-0.36,-4.4,2.03e+00 g/l,1.07,4.99
DB02356,,-2.8,-4.3,2.57e+00 g/l,3.24,8.12
DB02357,,-2.6,-4.1,5.70e+02 g/l,11.94,-3
DB02358,,-0.79,-2.7,1.89e-01 g/l,3.45,2.92
DB02359,,2.92,2.66,6.18e-02 g/l,18.59,5.06
DB02360,,3.2,3.93,1.60e-03 g/l,1.54,-7.8
DB02361,,-2.1,-2.3,1.93e+01 g/l,2.15,9.04
DB02362,150-13-0,0.78,0.8,4.41e+00 g/l,4.77,2.69
DB02363,,-1.1,-5.2,4.78e+00 g/l,0.65,4.92
DB02364,,-1.4,-2.5,3.50e+01 g/l,2.19,9.34
DB02366,,4.02,3.67,3.05e-03 g/l,8.77,9.61
DB02367,,0.2,-0.46,4.59e-01 g/l,8.71,-4.9
DB02368,,-2,-1.9,3.57e+00 g/l,3.87,-1.1
DB02369,,1.18,-1.1,2.79e+01 g/l,1.76,9.6
DB02370,,-2.5,-5,1.43e+01 g/l,1.66,10.68
DB02371,7365-44-8,-2.3,-4.5,2.40e+01 g/l,-1.5,8.06
DB02373,,-1.2,-4.4,1.58e+01 g/l,2.67,3.96
DB02374,,-1.4,-1.8,2.51e+01 g/l,12.36,5.61
DB02375,529-44-2,1.66,1.85,3.01e-01 g/l,6.43,-4.1
DB02376,,-2.5,-3.3,6.73e+01 g/l,12.42,5.37
DB02377,73-40-5,-0.92,-0.59,2.31e+00 g/l,8.95,2.22
DB02378,,2.93,2.78,1.55e-02 g/l,11.17,-0.79
DB02379,492-61-5,-2.6,-2.9,7.82e+02 g/l,11.3,-3
DB02380,890-38-0,-1.7,-0.66,1.01e+01 g/l,11.68,0.68
DB02381,189302-40-7,-3.6,-3.7,2.24e+00 g/l,2.08,10.56
DB02382,,-0.93,-5.4,4.61e+00 g/l,1.2,-3.7
DB02383,82964-04-3,3.25,3.35,7.60e-03 g/l,3.95,-3
DB02384,,2.06,1.76,4.15e-01 g/l,2.47,-6
DB02385,10162-32-0,-1.8,-2.8,6.26e+00 g/l,9.99,0.98
DB02386,,-0.44,-1.4,3.31e+01 g/l,-0.24,10.23
DB02388,,6.38,6.41,2.23e-03 g/l,15.07,10.02
DB02390,,-1.1,2.54,3.82e-05 g/l,14.71,8.52
DB02391,,-1.8,-2.7,8.59e+00 g/l,10.72,8.77
DB02393,,-1.6,-3.5,2.18e+01 g/l,1.12,-3.6
DB02394,,-2.2,-2.7,1.16e+03 g/l,12.63,-3.1
DB02395,,0.52,-0.83,5.38e+00 g/l,13.6,-1.6
DB02397,67262-86-6,-3.2,-5.9,8.20e+01 g/l,1.8,8.82
DB02398,,1.67,1.75,1.35e-02 g/l,12.05,11.21
DB02399,488-28-8,-2.2,-2.7,4.76e+02 g/l,12.7,-3
DB02401,66313-36-8,0.34,0.55,4.65e+01 g/l,2.35,-3.5
DB02402,,2.46,2.38,3.47e-01 g/l,16.48,7.28
DB02403,348-54-9,1.26,1.29,1.27e+01 g/l,19.26,2.43
DB02404,,0.18,-0.4,1.72e-01 g/l,9.97,-2.7
DB02407,,2.15,2.1,8.29e-01 g/l,8.98,3.77
DB02408,,0.12,0.48,4.68e+01 g/l,11.2,9.33
DB02410,,-0.19,-6.9,5.96e-02 g/l,1.78,5.53
DB02411,,1.8,1.19,8.14e-02 g/l,10.74,-1.1
DB02413,,-2.6,-3.4,3.83e+01 g/l,2.26,9.14
DB02414,53109-32-3,-0.64,-1.6,1.18e+01 g/l,10.86,6.74
DB02415,,2.25,1.31,2.30e+00 g/l,15.18,-2.7
DB02416,,-1.4,-0.64,4.86e+00 g/l,12.54,7.83
DB02417,118-79-6,4.2,3.98,5.45e-02 g/l,6.34,-7.7
